#RIC,Alias Underlying RIC,Domain,Date-Time,Type,Price,Volume,Market VWAP,Buyer ID,Bid Price,Bid Size,Seller ID,Ask Price,Ask Size,Qualifiers,Exch Time,Date,Tick Dir.,Open,High,Low,Turnover
PXA.AX,,Market Price,2025-01-15 15:43:24.341350419+11:00,Trade,13.04,53.0,12.995087,,13.03,552.0,,13.04,476.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:43:24.216000000,2025-01-15,^,12.74,13.06,12.7,1396932.89
PXA.AX,,Market Price,2025-01-15 15:43:26.580591266+11:00,Trade,13.04,27.0,12.995098,,13.03,513.0,,13.04,423.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:43:26.456000000,2025-01-15,^,12.74,13.06,12.7,1397284.97
PXA.AX,,Market Price,2025-01-15 15:43:26.580591266+11:00,Trade,13.04,5.0,12.995101,,13.03,513.0,,13.04,423.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:43:26.456000000,2025-01-15,^,12.74,13.06,12.7,1397350.17
PXA.AX,,Market Price,2025-01-15 15:43:26.580591266+11:00,Trade,13.04,18.0,12.995108,,13.03,513.0,,13.04,373.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:43:26.456000000,2025-01-15,^,12.74,13.06,12.7,1397584.89
PXA.AX,,Market Price,2025-01-15 15:43:30.465493362+11:00,Trade,13.04,30.0,12.995121,,13.03,574.0,,13.04,316.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:43:30.339000000,2025-01-15,^,12.74,13.06,12.7,1397976.09
PXA.AX,,Market Price,2025-01-15 15:43:30.466461206+11:00,Trade,13.04,19.0,12.995129,,13.03,574.0,,13.04,267.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:43:30.339000000,2025-01-15,^,12.74,13.06,12.7,1398223.85
PXA.AX,,Market Price,2025-01-15 15:43:39.186144347+11:00,Trade,13.035,39.0,12.995143,,13.03,535.0,,13.04,267.0,[ACT_FLAG1];CX[GV4_TEXT];CX[LSTSALCOND],04:43:39.062000000,2025-01-15,v,12.74,13.06,12.7,1398732.215
PXA.AX,,Market Price,2025-01-15 15:43:39.186144347+11:00,Trade,13.03,27.0,12.995152,,13.03,535.0,,13.04,267.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:43:39.062000000,2025-01-15,v,12.74,13.06,12.7,1399084.025
PXA.AX,,Market Price,2025-01-15 15:44:02.186124413+11:00,Trade,13.03,24.0,12.995159,,13.03,513.0,,13.04,300.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:44:02.062000000,2025-01-15,v,12.74,13.06,12.7,1399396.745
PXA.AX,,Market Price,2025-01-15 15:44:02.186124413+11:00,Trade,13.03,44.0,12.995174,,13.03,513.0,,13.04,300.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:44:02.062000000,2025-01-15,v,12.74,13.06,12.7,1399970.065
PXA.AX,,Market Price,2025-01-15 15:44:17.360493635+11:00,Trade,13.04,32.0,12.995187,,13.03,481.0,,13.04,300.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:44:17.237000000,2025-01-15,^,12.74,13.06,12.7,1400387.345
PXA.AX,,Market Price,2025-01-15 15:44:17.361449827+11:00,Trade,13.04,4.0,12.995189,,13.03,481.0,,13.04,300.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:44:17.237000000,2025-01-15,^,12.74,13.06,12.7,1400439.505
PXA.AX,,Market Price,2025-01-15 15:44:52.186603472+11:00,Trade,13.03,67.0,12.99521,,13.03,870.0,,13.04,264.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:44:52.062000000,2025-01-15,v,12.74,13.06,12.7,1401312.515
PXA.AX,,Market Price,2025-01-15 15:45:55.295493681+11:00,Trade,13.03,6.0,12.995212,,13.03,836.0,,13.04,427.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:45:55.169000000,2025-01-15,v,12.74,13.06,12.7,1401390.695
PXA.AX,,Market Price,2025-01-15 15:45:55.296269623+11:00,Trade,13.03,44.0,12.995226,,13.03,836.0,,13.04,427.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:45:55.169000000,2025-01-15,v,12.74,13.06,12.7,1401964.015
PXA.AX,,Market Price,2025-01-15 15:45:55.296269623+11:00,Trade,13.03,16.0,12.995232,,13.03,770.0,,13.04,427.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:45:55.169000000,2025-01-15,v,12.74,13.06,12.7,1402172.495
PXA.AX,,Market Price,2025-01-15 15:46:18.675488861+11:00,Trade,13.035,15.0,12.995237,,13.03,960.0,,13.04,427.0,[ACT_FLAG1];CX[GV4_TEXT];CX[LSTSALCOND],04:46:18.550000000,2025-01-15,^,12.74,13.06,12.7,1402368.02
PXA.CHA,,Market Price,2025-01-15 15:46:18.718928538+11:00,Trade,13.04,3.0,12.9961,,13.03,195.0,,13.04,31.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];[CONDCODE_1];""OB   ""[TR_TRD_FLG]",04:46:18.596290000,2025-01-15,^,12.9,13.06,12.9,264510.0
PXA.CHA,,Market Price,2025-01-15 15:46:18.719541698+11:00,Trade,13.04,3.0,12.9961,,13.03,195.0,,13.04,28.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",04:46:18.596290000,2025-01-15, ,12.9,13.06,12.9,264550.0
PXA.CHA,,Market Price,2025-01-15 15:46:18.719541698+11:00,Trade,13.04,3.0,12.9962,,13.03,195.0,,13.04,25.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",04:46:18.596290000,2025-01-15, ,12.9,13.06,12.9,264589.0
PXA.CHA,,Market Price,2025-01-15 15:46:18.719541698+11:00,Trade,13.04,2.0,12.9962,,13.03,195.0,,13.04,23.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",04:46:18.596290000,2025-01-15, ,12.9,13.06,12.9,264615.0
PXA.AX,,Market Price,2025-01-15 15:46:27.750726216+11:00,Trade,13.04,71.0,12.995267,,13.03,999.0,,13.04,330.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:46:27.626000000,2025-01-15,^,12.74,13.06,12.7,1403293.86
PXA.AX,,Market Price,2025-01-15 15:46:27.750726216+11:00,Trade,13.04,70.0,12.995296,,13.03,999.0,,13.04,330.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:46:27.626000000,2025-01-15,^,12.74,13.06,12.7,1404206.66
PXA.AX,,Market Price,2025-01-15 15:46:27.750726216+11:00,Trade,13.04,26.0,12.995306,,13.03,999.0,,13.04,330.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:46:27.626000000,2025-01-15,^,12.74,13.06,12.7,1404545.7
PXA.AX,,Market Price,2025-01-15 15:46:27.750726216+11:00,Trade,13.04,31.0,12.995319,,13.03,999.0,,13.04,330.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:46:27.626000000,2025-01-15,^,12.74,13.06,12.7,1404949.94
PXA.AX,,Market Price,2025-01-15 15:46:27.750726216+11:00,Trade,13.04,19.0,12.995327,,13.03,999.0,,13.04,330.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:46:27.626000000,2025-01-15,^,12.74,13.06,12.7,1405197.7
PXA.AX,,Market Price,2025-01-15 15:46:27.750726216+11:00,Trade,13.04,7.0,12.99533,,13.03,999.0,,13.05,693.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:46:27.626000000,2025-01-15,^,12.74,13.06,12.7,1405288.98
PXA.AX,,Market Price,2025-01-15 15:46:27.750726216+11:00,Trade,13.04,2.0,12.995331,,13.03,999.0,,13.05,693.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:46:27.626000000,2025-01-15,^,12.74,13.06,12.7,1405315.06
PXA.AX,,Market Price,2025-01-15 15:46:27.750726216+11:00,Trade,13.04,33.0,12.995344,,13.03,999.0,,13.05,693.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:46:27.626000000,2025-01-15,^,12.74,13.06,12.7,1405745.38
PXA.AX,,Market Price,2025-01-15 15:46:27.750726216+11:00,Trade,13.04,5.0,12.995346,,13.03,999.0,,13.05,693.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:46:27.626000000,2025-01-15,^,12.74,13.06,12.7,1405810.58
PXA.AX,,Market Price,2025-01-15 15:46:27.750726216+11:00,Trade,13.04,7.0,12.995349,,13.03,999.0,,13.05,693.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:46:27.626000000,2025-01-15,^,12.74,13.06,12.7,1405901.86
PXA.AX,,Market Price,2025-01-15 15:46:27.750726216+11:00,Trade,13.04,59.0,12.995374,,13.03,999.0,,13.05,693.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:46:27.626000000,2025-01-15,^,12.74,13.06,12.7,1406671.22
PXA.CHA,,Market Price,2025-01-15 15:47:06.648939063+11:00,Trade,13.035,39.0,12.9962,,13.03,214.0,,13.05,388.0,"S[GV4_TEXT];NBBO[TRD_IND_1];S[LSTSALCOND];S[CONDCODE_1];""OB   ""[TR_TRD_FLG]",04:47:06.523497000,2025-01-15,v,12.9,13.06,12.9,265123.0
PXA.AX,,Market Price,2025-01-15 15:47:06.945500787+11:00,Trade,13.04,3.0,12.995375,,13.03,982.0,,13.04,160.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:47:06.818000000,2025-01-15,^,12.74,13.06,12.7,1406710.34
PXA.AX,,Market Price,2025-01-15 15:47:06.945591154+11:00,Trade,13.04,2.0,12.995376,,13.03,982.0,,13.04,160.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:47:06.818000000,2025-01-15,^,12.74,13.06,12.7,1406736.42
PXA.AX,,Market Price,2025-01-15 15:47:06.945591154+11:00,Trade,13.04,42.0,12.995393,,13.03,982.0,,13.04,160.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:47:06.818000000,2025-01-15,^,12.74,13.06,12.7,1407284.1
PXA.AX,,Market Price,2025-01-15 15:47:06.945591154+11:00,Trade,13.04,2.0,12.995394,,13.03,982.0,,13.04,160.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:47:06.818000000,2025-01-15,^,12.74,13.06,12.7,1407310.18
PXA.AX,,Market Price,2025-01-15 15:47:06.945591154+11:00,Trade,13.04,91.0,12.995431,,13.03,982.0,,13.05,941.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:47:06.818000000,2025-01-15,^,12.74,13.06,12.7,1408496.82
PXA.AX,,Market Price,2025-01-15 15:47:06.945591154+11:00,Trade,13.04,9.0,12.995435,,13.03,982.0,,13.05,791.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:47:06.818000000,2025-01-15,^,12.74,13.06,12.7,1408614.18
PXA.AX,,Market Price,2025-01-15 15:47:06.945591154+11:00,Trade,13.04,11.0,12.995439,,13.03,982.0,,13.05,791.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:47:06.818000000,2025-01-15,^,12.74,13.06,12.7,1408757.62
PXA.AX,,Market Price,2025-01-15 15:47:10.335648686+11:00,Trade,13.045,39.0,12.995457,,13.04,272.0,,13.05,599.0,[ACT_FLAG1];CX[GV4_TEXT];CX[LSTSALCOND],04:47:10.208000000,2025-01-15,^,12.74,13.06,12.7,1409266.375
PXA.AX,,Market Price,2025-01-15 15:47:10.335648686+11:00,Trade,13.04,21.0,12.995466,,13.04,251.0,,13.05,599.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:47:10.208000000,2025-01-15,v,12.74,13.06,12.7,1409540.215
PXA.CHA,,Market Price,2025-01-15 15:47:10.339908290+11:00,Trade,13.045,39.0,12.9963,,13.04,80.0,,13.05,16.0,"S[GV4_TEXT];NBBO[TRD_IND_1];""OB   ""[TR_TRD_FLG]",04:47:10.215265000,2025-01-15,^,12.9,13.06,12.9,265632.0
PXA.AX,,Market Price,2025-01-15 15:47:11.775505257+11:00,Trade,13.04,98.0,12.995506,,13.04,403.0,,13.05,644.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:47:11.652000000,2025-01-15,v,12.74,13.06,12.7,1410818.135
PXA.AX,,Market Price,2025-01-15 15:47:11.776333441+11:00,Trade,13.04,136.0,12.995562,,13.04,120.0,,13.05,644.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:47:11.652000000,2025-01-15,v,12.74,13.06,12.7,1412591.575
PXA.AX,,Market Price,2025-01-15 15:47:11.776333441+11:00,Trade,13.04,49.0,12.995582,,13.04,120.0,,13.05,644.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:47:11.652000000,2025-01-15,v,12.74,13.06,12.7,1413230.535
PXA.AX,,Market Price,2025-01-15 15:47:11.776333441+11:00,Trade,13.04,19.0,12.99559,,13.04,120.0,,13.05,644.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:47:11.652000000,2025-01-15,v,12.74,13.06,12.7,1413478.295
PXA.AX,,Market Price,2025-01-15 15:47:11.776333441+11:00,Trade,13.04,34.0,12.995603,,13.04,60.0,,13.05,644.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:47:11.652000000,2025-01-15,v,12.74,13.06,12.7,1413921.655
PXA.AX,,Market Price,2025-01-15 15:47:11.776333441+11:00,Trade,13.04,7.0,12.995606,,13.04,60.0,,13.05,644.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:47:11.652000000,2025-01-15,v,12.74,13.06,12.7,1414012.935
PXA.AX,,Market Price,2025-01-15 15:47:11.776333441+11:00,Trade,13.04,13.0,12.995612,,13.04,47.0,,13.05,644.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:47:11.652000000,2025-01-15,v,12.74,13.06,12.7,1414182.455
PXA.AX,,Market Price,2025-01-15 15:47:11.776333441+11:00,Trade,13.04,1.0,12.995612,,13.04,47.0,,13.05,644.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:47:11.652000000,2025-01-15,v,12.74,13.06,12.7,1414195.495
PXA.AX,,Market Price,2025-01-15 15:47:11.776333441+11:00,Trade,13.04,12.0,12.995617,,13.04,46.0,,13.05,644.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:47:11.652000000,2025-01-15,v,12.74,13.06,12.7,1414351.975
PXA.AX,,Market Price,2025-01-15 15:47:11.890489701+11:00,Trade,13.04,23.0,12.995626,,13.04,113.0,,13.05,644.0,S[ACT_FLAG1];XT[GV4_TEXT];XT[LSTSALCOND],04:47:11.764000000,2025-01-15,v,12.74,13.06,12.7,1414651.895
PXA.AX,,Market Price,2025-01-15 15:47:22.741156561+11:00,Trade,13.04,9.0,12.99563,,13.04,686.0,,13.05,800.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:47:22.617000000,2025-01-15,v,12.74,13.06,12.7,1414769.255
PXA.AX,,Market Price,2025-01-15 15:47:22.741156561+11:00,Trade,13.04,39.0,12.995646,,13.04,686.0,,13.05,800.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:47:22.617000000,2025-01-15,v,12.74,13.06,12.7,1415277.815
PXA.AX,,Market Price,2025-01-15 15:47:22.741156561+11:00,Trade,13.04,20.0,12.995654,,13.04,686.0,,13.05,800.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:47:22.617000000,2025-01-15,v,12.74,13.06,12.7,1415538.615
PXA.AX,,Market Price,2025-01-15 15:47:22.741156561+11:00,Trade,13.04,20.0,12.995662,,13.04,686.0,,13.05,800.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:47:22.617000000,2025-01-15,v,12.74,13.06,12.7,1415799.415
PXA.AX,,Market Price,2025-01-15 15:47:22.741156561+11:00,Trade,13.04,8.0,12.995665,,13.04,686.0,,13.05,800.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:47:22.617000000,2025-01-15,v,12.74,13.06,12.7,1415903.735
PXA.AX,,Market Price,2025-01-15 15:47:22.741156561+11:00,Trade,13.04,120.0,12.995714,,13.04,51.0,,13.05,800.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:47:22.617000000,2025-01-15,v,12.74,13.06,12.7,1417468.535
PXA.AX,,Market Price,2025-01-15 15:47:22.741156561+11:00,Trade,13.04,1.0,12.995715,,13.04,51.0,,13.05,800.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:47:22.617000000,2025-01-15,v,12.74,13.06,12.7,1417481.575
PXA.AX,,Market Price,2025-01-15 15:47:22.741156561+11:00,Trade,13.04,54.0,12.995736,,13.04,51.0,,13.05,800.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:47:22.617000000,2025-01-15,v,12.74,13.06,12.7,1418185.735
PXA.AX,,Market Price,2025-01-15 15:47:22.741156561+11:00,Trade,13.04,335.0,12.995872,,13.04,51.0,,13.05,800.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:47:22.617000000,2025-01-15,v,12.74,13.06,12.7,1422554.135
PXA.AX,,Market Price,2025-01-15 15:47:22.741156561+11:00,Trade,13.04,29.0,12.995884,,13.03,758.0,,13.05,800.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:47:22.617000000,2025-01-15,v,12.74,13.06,12.7,1422932.295
PXA.AX,,Market Price,2025-01-15 15:47:22.741156561+11:00,Trade,13.04,9.0,12.995887,,13.03,658.0,,13.05,800.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:47:22.617000000,2025-01-15,v,12.74,13.06,12.7,1423049.655
PXA.AX,,Market Price,2025-01-15 15:47:22.741156561+11:00,Trade,13.04,37.0,12.995902,,13.03,658.0,,13.05,800.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:47:22.617000000,2025-01-15,v,12.74,13.06,12.7,1423532.135
PXA.CHA,,Market Price,2025-01-15 15:47:22.743919579+11:00,Trade,13.04,20.0,12.9964,,13.04,70.0,,13.05,77.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];[CONDCODE_1];""OB   ""[TR_TRD_FLG]",04:47:22.617559000,2025-01-15,v,12.9,13.06,12.9,265893.0
PXA.CHA,,Market Price,2025-01-15 15:47:22.744395253+11:00,Trade,13.04,20.0,12.9964,,13.04,50.0,,13.05,77.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",04:47:22.617559000,2025-01-15, ,12.9,13.06,12.9,266153.0
PXA.CHA,,Market Price,2025-01-15 15:47:22.744395253+11:00,Trade,13.04,1.0,12.9964,,13.04,49.0,,13.05,77.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",04:47:22.617559000,2025-01-15, ,12.9,13.06,12.9,266167.0
PXA.CHA,,Market Price,2025-01-15 15:47:22.744395253+11:00,Trade,13.04,13.0,12.9964,,13.04,36.0,,13.05,77.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",04:47:22.617559000,2025-01-15, ,12.9,13.06,12.9,266336.0
PXA.CHA,,Market Price,2025-01-15 15:47:22.744395253+11:00,Trade,13.04,36.0,12.9965,,13.03,439.0,,13.05,77.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",04:47:22.617559000,2025-01-15, ,12.9,13.06,12.9,266805.0
PXA.AX,,Market Price,2025-01-15 15:47:22.745469979+11:00,Trade,13.04,5.0,12.995904,,13.03,658.0,,13.04,100.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:47:22.617000000,2025-01-15,v,12.74,13.06,12.7,1423597.335
PXA.CHA,,Market Price,2025-01-15 15:47:36.454459299+11:00,Trade,13.04,9.0,12.9965,,13.03,119.0,,13.04,171.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",04:47:36.329230000,2025-01-15, ,12.9,13.06,12.9,266923.0
PXA.CHA,,Market Price,2025-01-15 15:47:36.454459299+11:00,Trade,13.04,19.0,12.9966,,13.03,119.0,,13.04,152.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",04:47:36.329230000,2025-01-15, ,12.9,13.06,12.9,267171.0
PXA.CHA,,Market Price,2025-01-15 15:47:36.454459299+11:00,Trade,13.04,6.0,12.9966,,13.03,119.0,,13.04,146.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",04:47:36.329230000,2025-01-15, ,12.9,13.06,12.9,267249.0
PXA.AX,,Market Price,2025-01-15 15:47:41.510471638+11:00,Trade,13.035,39.0,12.995918,,13.03,417.0,,13.04,126.0,[ACT_FLAG1];CX[GV4_TEXT];CX[LSTSALCOND],04:47:41.386000000,2025-01-15,v,12.74,13.06,12.7,1424105.7
PXA.CHA,,Market Price,2025-01-15 15:48:12.128915681+11:00,Trade,13.03,1.0,12.9966,,13.03,86.0,,13.04,7.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",04:48:12.006168000,2025-01-15,v,12.9,13.06,12.9,267262.0
PXA.AX,,Market Price,2025-01-15 15:49:30.555498382+11:00,Trade,13.035,17.0,12.995924,,13.03,730.0,,13.04,260.0,[ACT_FLAG1];CX[GV4_TEXT];CX[LSTSALCOND],04:49:30.431000000,2025-01-15,v,12.74,13.06,12.7,1424327.295
PXA.AX,,Market Price,2025-01-15 15:49:30.575471397+11:00,Trade,13.04,10.0,12.995928,,13.03,730.0,,13.04,260.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:49:30.452000000,2025-01-15,^,12.74,13.06,12.7,1424457.695
PXA.AX,,Market Price,2025-01-15 15:49:30.575642875+11:00,Trade,13.04,21.0,12.995937,,13.03,730.0,,13.04,260.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:49:30.452000000,2025-01-15,^,12.74,13.06,12.7,1424731.535
PXA.AX,,Market Price,2025-01-15 15:49:30.575642875+11:00,Trade,13.04,35.0,12.995951,,13.03,730.0,,13.04,260.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:49:30.452000000,2025-01-15,^,12.74,13.06,12.7,1425187.935
PXA.AX,,Market Price,2025-01-15 15:49:30.575642875+11:00,Trade,13.04,54.0,12.995972,,13.03,730.0,,13.04,17.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:49:30.452000000,2025-01-15,^,12.74,13.06,12.7,1425892.095
PXA.AX,,Market Price,2025-01-15 15:49:30.575642875+11:00,Trade,13.04,10.0,12.995976,,13.03,730.0,,13.04,17.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:49:30.452000000,2025-01-15,^,12.74,13.06,12.7,1426022.495
PXA.AX,,Market Price,2025-01-15 15:49:30.575642875+11:00,Trade,13.04,34.0,12.99599,,13.03,730.0,,13.04,17.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:49:30.452000000,2025-01-15,^,12.74,13.06,12.7,1426465.855
PXA.AX,,Market Price,2025-01-15 15:49:30.575642875+11:00,Trade,13.04,79.0,12.996022,,13.03,730.0,,13.04,17.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:49:30.452000000,2025-01-15,^,12.74,13.06,12.7,1427496.015
PXA.AX,,Market Price,2025-01-15 15:49:30.575642875+11:00,Trade,13.04,11.0,12.996026,,13.03,730.0,,13.05,861.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:49:30.452000000,2025-01-15,^,12.74,13.06,12.7,1427639.455
PXA.AX,,Market Price,2025-01-15 15:49:30.575642875+11:00,Trade,13.04,1.0,12.996026,,13.03,730.0,,13.05,861.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:49:30.452000000,2025-01-15,^,12.74,13.06,12.7,1427652.495
PXA.CHA,,Market Price,2025-01-15 15:49:34.688938393+11:00,Trade,13.035,39.0,12.9967,,13.03,163.0,,13.04,29.0,"S[GV4_TEXT];NBBO[TRD_IND_1];S[LSTSALCOND];S[CONDCODE_1];""OB   ""[TR_TRD_FLG]",04:49:34.565127000,2025-01-15,^,12.9,13.06,12.9,267770.0
PXA.CHA,,Market Price,2025-01-15 15:50:38.538946905+11:00,Trade,13.04,1.0,12.9967,,13.03,202.0,,13.04,92.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];[CONDCODE_1];""OB   ""[TR_TRD_FLG]",04:50:38.413494000,2025-01-15,^,12.9,13.06,12.9,267783.0
PXA.CHA,,Market Price,2025-01-15 15:50:38.539803313+11:00,Trade,13.04,1.0,12.9967,,13.03,202.0,,13.04,91.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",04:50:38.413494000,2025-01-15, ,12.9,13.06,12.9,267796.0
PXA.CHA,,Market Price,2025-01-15 15:50:41.669127422+11:00,Trade,13.035,39.0,12.9967,,13.03,222.0,,13.04,91.0,"S[GV4_TEXT];NBBO[TRD_IND_1];S[LSTSALCOND];S[CONDCODE_1];""OB   ""[TR_TRD_FLG]",04:50:41.542124000,2025-01-15,v,12.9,13.06,12.9,268305.0
PXA.AX,,Market Price,2025-01-15 15:50:59.115727977+11:00,Trade,13.03,39.0,12.996039,,13.03,1043.0,,13.04,412.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:50:58.988000000,2025-01-15,v,12.74,13.06,12.7,1428160.665
PXA.AX,,Market Price,2025-01-15 15:50:59.481118920+11:00,Trade,13.035,21.0,12.996046,,13.03,880.0,,13.04,454.0,[ACT_FLAG1];CX[GV4_TEXT];CX[LSTSALCOND],04:50:59.355000000,2025-01-15,^,12.74,13.06,12.7,1428434.4
PXA.AX,,Market Price,2025-01-15 15:51:13.045107501+11:00,Trade,13.03,23.0,12.996053,,13.03,869.0,,13.04,610.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:51:12.920000000,2025-01-15,v,12.74,13.06,12.7,1428734.09
PXA.AX,,Market Price,2025-01-15 15:51:13.045225909+11:00,Trade,13.03,12.0,12.996057,,13.03,869.0,,13.04,610.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:51:12.920000000,2025-01-15,v,12.74,13.06,12.7,1428890.45
PXA.AX,,Market Price,2025-01-15 15:51:13.045225909+11:00,Trade,13.03,104.0,12.996089,,13.03,869.0,,13.04,610.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:51:12.920000000,2025-01-15,v,12.74,13.06,12.7,1430245.57
PXA.AX,,Market Price,2025-01-15 15:51:13.045225909+11:00,Trade,13.03,2.0,12.996089,,13.03,869.0,,13.04,610.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:51:12.920000000,2025-01-15,v,12.74,13.06,12.7,1430271.63
PXA.AX,,Market Price,2025-01-15 15:51:13.045225909+11:00,Trade,13.03,47.0,12.996104,,13.03,869.0,,13.04,610.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],04:51:12.920000000,2025-01-15,v,12.74,13.06,12.7,1430884.04
